613040064-7,0
613040283-5,0
623040300-2,0
633040143-3,0
633040144-1,0
633040145-9,0
633040147-5,0
633040148-3,0
633040149-1,0
633040150-6,0
633040151-4,0
633040152-2,0
633040153-0,0
633040154-8,0
633040155-6,0
633040156-4,0
633040157-2,0
633040158-0,0
633040159-8,0
633040160-3,0
633040161-1,0
633040162-9,0
633040163-7,0
633040165-3,0
633040166-1,0
633040167-9,0
633040168-7,0
633040419-8,0
633040169-5,0
633040170-0,0
633040171-8,0
633040172-6,0
633040173-4,0
633040174-2,0
633040175-0,0
633040176-8,0
633040177-6,0
633040178-4,0
633040179-2,0
633040180-7,0
633040181-5,0
633040182-3,0
633040183-1,0
633040184-9,0
633040185-7,0
633040408-3,0
633040409-1,0
633040410-6,0
633040411-4,0
633040412-2,0
633040415-6,0
633040416-4,0
633040603-5,0
633040420-3,0
633040422-9,0
633040423-7,0
633040425-3,0
633040426-1,0
633040600-1,0
633040601-9,0
633040602-7,0
633040604-3,0
633040605-1,0
633040607-7,0
633040706-5,0
633040707-3,0
633040709-9,0
633040711-2,0
633040712-0,0
633040713-8,0
633040714-6,0
633040715-4,0
633040716-2,0
633040717-0,0
633040606-9,0
633040424-5,0
633040418-0,0